id	previousid
TcCLB.423151.70	Tc00.1047053423151.70
TcCLB.423151.80	Tc00.1047053423151.80
TcCLB.423151.90	Tc00.1047053423151.90
TcCLB.423205.10	Tc00.1047053423205.10
TcCLB.423345.10	Tc00.1047053423345.10
TcCLB.423345.20	Tc00.1047053423345.20
TcCLB.423485.10	Tc00.1047053423485.10
TcCLB.423485.20	Tc00.1047053423485.20
TcCLB.423485.30	Tc00.1047053423485.30
TcCLB.423485.40	Tc00.1047053423485.40
TcCLB.423485.50	Tc00.1047053423485.50
TcCLB.423485.60	Tc00.1047053423485.60
TcCLB.423707.10	Tc00.1047053423707.10
TcCLB.423869.10	Tc00.1047053423869.10
TcCLB.423869.20	Tc00.1047053423869.20
TcCLB.423869.30	Tc00.1047053423869.30
TcCLB.423869.40	Tc00.1047053423869.40
TcCLB.423869.50	Tc00.1047053423869.50
TcCLB.423869.60	Tc00.1047053423869.60
TcCLB.423943.10	Tc00.1047053423943.10
TcCLB.423943.20	Tc00.1047053423943.20
TcCLB.423947.10	Tc00.1047053423947.10
TcCLB.423947.20	Tc00.1047053423947.20
TcCLB.424085.10	Tc00.1047053424085.10
TcCLB.424085.20	Tc00.1047053424085.20
TcCLB.424085.30	Tc00.1047053424085.30
TcCLB.424123.10	Tc00.1047053424123.10
TcCLB.424123.20	Tc00.1047053424123.20
TcCLB.424123.30	Tc00.1047053424123.30
TcCLB.424123.40	Tc00.1047053424123.40
TcCLB.424171.10	Tc00.1047053424171.10
TcCLB.424181.10	Tc00.1047053424181.10
TcCLB.424181.20	Tc00.1047053424181.20
TcCLB.424181.30	Tc00.1047053424181.30
TcCLB.424181.40	Tc00.1047053424181.40
TcCLB.424181.50	Tc00.1047053424181.50
TcCLB.424181.60	Tc00.1047053424181.60
TcCLB.424181.70	Tc00.1047053424181.70
TcCLB.424195.5	Tc00.1047053424195.5
TcCLB.424195.9	Tc00.1047053424195.9
TcCLB.424257.10	Tc00.1047053424257.10
TcCLB.424383.9	Tc00.1047053424383.9
TcCLB.424499.10	Tc00.1047053424499.10
TcCLB.424679.10	Tc00.1047053424679.10
TcCLB.424771.10	Tc00.1047053424771.10
TcCLB.424795.10	Tc00.1047053424795.10
