previousids	refseqids
Tc00.1047053510525.100	XP_810117
Tc00.1047053510525.80	XP_810115
Tc00.1047053508761.260	XP_818317
Tc00.1047053511149.210	XP_817717
Tc00.1047053509081.110	XP_810606
Tc00.1047053511553.100	XP_813879
Tc00.1047053504433.10	XP_808585
Tc00.1047053507951.170	XP_818125
Tc00.1047053508139.240	XP_820455
Tc00.1047053508139.250	XP_820456
Tc00.1047053506213.80	XP_811928
Tc00.1047053511287.30	XP_814347
Tc00.1047053504431.90	XP_810168
Tc00.1047053507951.140	XP_818122
Tc00.1047053508625.30	XP_811815
Tc00.1047053508299.60	XP_811022
Tc00.1047053511527.34	XP_809655
Tc00.1047053510659.240	XP_818456
Tc00.1047053510743.70	XP_810268
Tc00.1047053503719.20	XP_804492
Tc00.1047053509825.14	XP_805747
Tc00.1047053503801.30	XP_807143
Tc00.1047053508817.50	XP_814843
Tc00.1047053506819.40	XP_804697
Tc00.1047053511545.130	XP_815675
Tc00.1047053509471.59	XP_807531
Tc00.1047053509471.68	XP_807532
Tc00.1047053509471.77	XP_807528
Tc00.1047053509471.86	XP_807529
Tc00.1047053504867.70	XP_812781
Tc00.1047053510943.130	XP_817086
Tc00.1047053506275.20	XP_810173
Tc00.1047053510719.260	XP_819204
Tc00.1047053503577.20	XP_802775
Tc00.1047053510943.60	XP_817079
Tc00.1047053506739.50	XP_817058
Tc00.1047053510819.60	XP_812843
Tc00.1047053503801.20	XP_807142
Tc00.1047053508817.60	XP_814844
Tc00.1047053508651.20	XP_802657
Tc00.1047053509961.9	XP_810342
Tc00.1047053508851.180	XP_814478
Tc00.1047053511589.130	XP_816015
Tc00.1047053503819.30	XP_804162
Tc00.1047053510359.310	XP_821753
Tc00.1047053506925.120	XP_821554
Tc00.1047053506925.130	XP_821556
Tc00.1047053506943.50	XP_812137
Tc00.1047053506943.60	XP_812138
Tc00.1047053511519.18	XP_802662
Tc00.1047053511521.24	XP_804178
Tc00.1047053504881.14	XP_809858
Tc00.1047053506579.119	XP_811538
Tc00.1047053504243.10	XP_808057
Tc00.1047053511837.138	XP_812005
Tc00.1047053508503.20	XP_808411
Tc00.1047053510565.30	XP_816256
Tc00.1047053506635.44	XP_814263
Tc00.1047053508027.94	XP_813303
Tc00.1047053508601.50	XP_811804
Tc00.1047053511801.34	XP_810335
Tc00.1047053507009.90	XP_811911
Tc00.1047053510667.70	XP_813134
Tc00.1047053507007.45	XP_813702
Tc00.1047053509551.95	XP_814554
Tc00.1047053503579.119	XP_812421
Tc00.1047053507517.104	XP_810797
Tc00.1047053504411.30	XP_804594
Tc00.1047053505009.30	XP_805314
Tc00.1047053506203.80	XP_815762
Tc00.1047053509671.80	XP_814693
Tc00.1047053510765.60	XP_805667
Tc00.1047053508689.20	XP_805765
Tc00.1047053510877.150	XP_816407
Tc00.1047053506751.50	XP_812546
Tc00.1047053510359.610	XP_821769
Tc00.1047053508641.320	XP_819788
